,xml,x,y,defocus,JPG,atlas_path,mic_path,scale,angle,offset_x,offset_y,score,model
56,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867906_Data_1849411_1849413_20251002_131741.xml,166.4205241592633,404.1247083324536,-1.8,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867906_Data_1849411_1849413_20251002_131741.mrc,Atlas_1.mrc,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2,910.0,84.0,0.0,7.0,0.08156968653202057,ResNet10_512_0.2_full.pth
57,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867906_Data_1849414_1849416_20251002_131753.xml,164.04037527842752,405.65498950597,-1.8,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867906_Data_1849414_1849416_20251002_131753.mrc,Atlas_1.mrc,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2,910.0,84.0,0.0,7.0,0.18774403631687164,ResNet10_512_0.2_full.pth
58,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867908_Data_1849402_1849404_20251002_131925.xml,156.17757509217472,414.5571591149282,-1.4,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867908_Data_1849402_1849404_20251002_131925.mrc,Atlas_1.mrc,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2,910.0,84.0,0.0,7.0,0.39846962690353394,ResNet10_512_0.2_full.pth
59,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867908_Data_1849405_1849407_20251002_131937.xml,155.90465372012522,416.73489423977304,-1.4,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867908_Data_1849405_1849407_20251002_131937.mrc,Atlas_1.mrc,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2,910.0,84.0,0.0,7.0,0.1514889895915985,ResNet10_512_0.2_full.pth
60,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867908_Data_1849408_1849410_20251002_131949.xml,157.99379419646516,415.01458851910644,-1.4,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867908_Data_1849408_1849410_20251002_131949.mrc,Atlas_1.mrc,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2,910.0,84.0,0.0,7.0,0.5877768397331238,ResNet10_512_0.2_full.pth
61,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867908_Data_1849411_1849413_20251002_132001.xml,156.85897166708108,413.0478429211074,-1.4,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867908_Data_1849411_1849413_20251002_132001.mrc,Atlas_1.mrc,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2,910.0,84.0,0.0,7.0,0.5655006170272827,ResNet10_512_0.2_full.pth
62,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867908_Data_1849414_1849416_20251002_132013.xml,154.6573004837834,414.53890741105283,-1.4,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867908_Data_1849414_1849416_20251002_132013.mrc,Atlas_1.mrc,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2,910.0,84.0,0.0,7.0,0.12066056579351425,ResNet10_512_0.2_full.pth
63,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867909_Data_1849402_1849404_20251002_132101.xml,152.6540962136636,419.0743733040435,-1.2,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867909_Data_1849402_1849404_20251002_132101.mrc,Atlas_1.mrc,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2,910.0,84.0,0.0,7.0,0.16223599016666412,ResNet10_512_0.2_full.pth
64,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867909_Data_1849405_1849407_20251002_132113.xml,152.3811748248855,421.2521084452896,-1.2,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867909_Data_1849405_1849407_20251002_132113.mrc,Atlas_1.mrc,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2,910.0,84.0,0.0,7.0,0.08686769753694534,ResNet10_512_0.2_full.pth
65,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867909_Data_1849408_1849410_20251002_132125.xml,154.47031534767376,419.5318027184545,-1.2,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2/2025-10-02_Get3_4_618_2/Images-Disc1/GridSquare_1848462/Data/FoilHole_1867909_Data_1849408_1849410_20251002_132125.mrc,Atlas_1.mrc,/Volumes/OffloadData/Jakob/Get3/2025-10-02_Get3_4_618_2,910.0,84.0,0.0,7.0,0.7009552121162415,ResNet10_512_0.2_full.pth
