,xml,x,y,defocus,JPG,atlas_path,mic_path,scale,angle,offset_x,offset_y
11,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693130_Data_23694815_7_20250923_144513.xml,264.1778972535548,-123.05368904229813,-1.0,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693130_Data_23694815_7_20250923_144513.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
12,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693134_Data_23694760_6_20250923_144518.xml,270.4701546756859,-124.01047510138136,-1.2,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693134_Data_23694760_6_20250923_144518.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
13,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693134_Data_23694769_6_20250923_144524.xml,270.7086338093647,-123.48561742719603,-1.2,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693134_Data_23694769_6_20250923_144524.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
14,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693134_Data_23694815_6_20250923_144529.xml,270.06834423184506,-123.58569667895318,-1.2,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693134_Data_23694815_6_20250923_144529.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
15,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693159_Data_23694760_0_20250923_144733.xml,254.5609112332496,-127.41730986031973,-1.5,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693159_Data_23694760_0_20250923_144733.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
16,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693159_Data_23694769_0_20250923_144739.xml,254.797444914002,-126.89252007706662,-1.5,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693159_Data_23694769_0_20250923_144739.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
17,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693159_Data_23694815_0_20250923_144744.xml,254.15812807047456,-126.99256536904417,-1.5,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693159_Data_23694815_0_20250923_144744.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
18,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693162_Data_23694760_23_20250923_144534.xml,261.64768054112164,-123.21069189420092,-1.4,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693162_Data_23694760_23_20250923_144534.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
19,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693162_Data_23694769_23_20250923_144539.xml,261.88421418165353,-122.68590202900702,-1.4,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693162_Data_23694769_23_20250923_144539.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
20,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693162_Data_23694815_23_20250923_144545.xml,254.49148286414578,-130.3591075173932,-1.4,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693162_Data_23694815_23_20250923_144545.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
